Country Name	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011
Benin	0.0523617134	0.0545937468	0.047983641	0.0558421599	0.0577704429	0.0429567964	0.0531131504	0.0561752099	0.0721883465	0.0990904395	0.1008556018	0.1308093683	0.1255330004	0.1309567435	0.1394371066	0.0798661193	0.0888871798	0.1059247087	0.1042674593	0.1432033874	0.1156852515	0.1318121305	0.1179298004	0.127462893	0.1797993612	0.1629003211	0.1233106941	0.1248377368	0.1386855619	0.149810282	0.167962924	0.1773080661	0.214174411	0.2311465085	0.2349001733	0.217299598	0.2033108036	0.1972111431	0.2468043168	0.2481120192	0.2586030131	0.2959821908	0.3239663329	0.3241717846	0.3362564462	0.4737649661	0.4782312591	0.4866817537			
Bermuda	3.8684835165	3.3837124464	3.1519287212	4.1244376278	3.5864870259	3.9546078431	4.0901153846	4.220509434	3.667	4.1337090909	4.2311538462	4.6683210332	7.9065427509	8.3091198502	8.6485849057	8.8228571429	8.5151310861	7.9360447761	8.5881412639	8.0809814815	7.1452573529	7.2269343066	8.1710326087	7.9803417266	8.0543035714	7.4757820738	9.9605363322	11.0572231687	13.1667449664	9.8796859504	8.3559508197	6.6727377049	7.8750327869	7.7168515498	7.5479578606	7.7155068702	7.7047726175	7.4573131974	7.9788623127	7.9677616649	7.9257925072	8.3566693227	8.0855488579	10.5979311434	6.979817524	8.161661442	8.078859375	6.0545482866			
Bhutan										0.0121472511	0.0117183131	0.0112895033	0.0108693719	0.0104662281	0.0100851753	0.0097250363	0.0187698985	0.0272049459	0.0526698808	0.0510922293	0.0579896441	0.0727269923	0.0631111092	0.1076615931	0.1271088293	0.1086147351	0.195896843	0.2033764822	0.112696757	0.2298030439	0.3365146371	0.3959927227	0.350287978	0.4063414066	0.4808401339	0.5847147805	0.7497529448	0.7123589519	0.6932858221	0.6996842079	0.7046526656	0.8471281665	0.7458133885	0.7306600249	1.0345354797	0.6250435391	0.8414202541	1.0456782009			
Bolivia	0.3036091611	0.3136504222	0.3384007044	0.4038273244	0.4025706042	0.4402595377	0.4815677116	0.5416313258	0.6189955502	0.5896320518	0.7088551067	0.8069697958	0.7624255319	0.7566857209	0.8525678884	0.9390659743	0.8970810214	0.9830245701	0.9052549438	0.8721085578	0.8760276182	0.7781126073	0.7515680331	0.6930477655	0.6924917718	0.6203766499	0.6475485027	0.6771030586	0.7673838354	0.8266423988	0.8481556786	0.9532708418	1.1260625222	1.2194499626	1.2614488835	1.1436536137	1.2611235323	1.2954415983	1.2002857423	1.1459308787	1.0416938932	0.9652389437	1.3069226765	1.1830195025	1.1253588334	1.1245299603	1.3794604679	1.3343603855			
Bosnia and Herzegovina																																1.0017769878	0.8894824276	1.0486124912	1.0630905814	1.6240231941	3.7142689481	4.6623983381	5.2121882981	6.2951673364	5.528327513	6.076570434	6.1499308566	6.5148303863	6.7792444382	7.2640110451	7.6706467843	8.2868266986			
Botswana												0.0297451746	0.0670996378	0.1110606336	0.227530653	0.695797717	0.879865858	0.9016229905	0.9821120402	0.9901747722	0.9763149767	1.0284124531	0.9309948844	0.9131917563	0.9796830072	1.083481613	1.2182289581	1.2428635987	1.32297807	1.5756971175	1.5094881179	2.2503781766	2.3301678511	2.2693269719	2.2224424632	1.9332045742	1.9344887019	2.2599931469	2.0518644191	2.4322550735	2.4289817193	2.4803570372	2.3302869145	2.3638356306	2.4125090034	2.3457626762	2.4065674383	2.4761538391			
Brazil	0.6562637611	0.6948237804	0.6983405685	0.6917159335	0.6683154364	0.7413891872	0.7431719849	0.8471080711	0.8995747268	0.9758865331	1.0425671839	1.1342283143	1.2830295248	1.3571625396	1.3967754773	1.4002499404	1.4365167022	1.5234001243	1.5839275501	1.537157791	1.3789906594	1.350249716	1.2772757542	1.2656059554	1.3302980833	1.4303071771	1.4636311354	1.4491808103	1.4550709094	1.3958349513	1.4415714204	1.4277573194	1.4698055858	1.5191731659	1.7026084547	1.8330255777	1.9248604631	1.8535687148	1.8731879034	1.8926450311	1.9216402957	1.8695256129	1.787962841	1.8554435915	1.8816774653	1.8756387982	1.9408442088	2.0529033035			
Brunei Darussalam	3.6468762731	4.2477176805	3.9050039522	3.5825970943	3.3525257193	4.7188898492	4.0382497614	3.7612564435	4.0833137977	65.6370954848	57.3799709946	68.96625626	69.5347479589	54.550776798	45.2184105495	36.915353414	37.6490036205	54.0633584153	40.6607226782	36.3600581088	7.5256507365	10.401622446	13.0659514682	9.0038638135	11.8522529103	10.2056434431	14.3229823047	23.9896477204	25.8966390874	25.467196827	22.4241566644	21.7715840686	20.3684354396	19.1802304965	19.0431678027	18.8292999717	19.0735119419	19.1679606426	14.3856106916	19.9588424516	18.5352686423	15.576846173	15.3610449263	15.0618329339	14.1177121802	13.0215599068	25.3232842313	27.5386033091			
Bulgaria	3.2699686516	3.8358659678	4.2598573904	5.2632076375	5.6478328253	5.9054774764	6.6385496992	7.1118770609	7.8700933128	7.2130624264	7.5329012418	7.7158366371	7.9835196613	8.2107167876	8.3776296296	8.3475639913	8.6289458201	9.2365630815	8.9680710401	8.7437798465	9.0497826087	10.1339322015	10.143212594	9.7889383754	10.0146299072	10.2215015072	10.2178128414	9.7262673422	9.7922986369	8.9159668502	6.9168320204	6.276409719	8.1832273371	6.6210326023	7.119655119	6.7845643849	6.4582259192	6.1757662589	5.3584305556	5.4008631514	5.8727630847	5.6722231541	6.0472922153	6.0128884366	6.1899191204	6.3571011635	6.8947468878	6.6294077639			
Burkina Faso	0.0184943436	0.0167566144	0.0172151138	0.0211742397	0.019430925	0.0190887997	0.0187389413	0.0183848788	0.0212507736	0.0246256043	0.025379523	0.0266942276	0.0273429022	0.0325994985	0.0341896864	0.0317778695	0.0370733581	0.0506263092	0.0577927258	0.0599973267	0.0754396747	0.0760287846	0.0765150141	0.0584840479	0.0583503227	0.0572942577	0.0600731059	0.0626542121	0.0904970137	0.0629258099	0.0654545625	0.0640658629	0.0619705189	0.0620508075	0.0586465495	0.0643850122	0.0713827625	0.074153103	0.0779318358	0.0847101825	0.0788572598	0.0771974198	0.0804815074	0.0800426491	0.0792880891	0.093040501	0.1093200396	0.1195920815			
